Model Name,Engine Displacement (cc),Maximum Power (HP),Engine Type,Bore (mm),Stroke (mm),Charging System,Oil Capacity (L),Valve Type,Cylinders (qty.),Dry Weight (kg),Shaft Diameter (mm),Fuel Type,Air Cooling System,Product Type,Series,Start Type,Displacement,Shaft Rotation
Model_10324,596,7.3,4-stroke,74.341,47.049,12V DC,0.604,DOHC,2,25.621,20.755,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_10325,489,7.4,4-stroke,67.03,48.93,None,2.37,OHV,2,69.714,26.578,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10326,626,15.3,4-stroke,66.239,50.736,Alternator,0.432,DOHC,2,21.218,29.577,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_10327,255,8.5,OHV,77.441,61.452,12V DC,1.572,Flathead,1,48.42,32.856,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_10328,606,5.9,OHV,82.849,66.43,12V DC,0.357,OHV,2,26.513,26.15,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_10329,85,7.7,V-twin,57.035,48.644,Alternator,1.641,OHV,2,50.322,33.254,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_10330,286,9.4,OHV,68.819,46.235,None,1.402,OHV,1,48.222,22.758,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10331,139,17.4,OHV,75.426,60.533,None,1.39,OHV,2,47.826,29.97,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_10332,188,3.2,4-stroke,84.635,49.831,12V DC,1.527,DOHC,2,49.024,18.246,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_10333,269,8.5,OHV,66.028,55.241,Alternator,1.419,OHV,2,55.019,28.669,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10334,239,12.4,OHV,74.954,53.545,None,0.501,OHV,2,32.518,18.364,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10335,591,21.8,4-stroke,59.932,56.828,None,1.51,DOHC,1,40.623,28.552,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_10336,558,24.5,OHV,71.424,73.442,12V DC,1.997,DOHC,2,33.312,19.658,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_10337,383,13.6,V-twin,79.238,73.943,12V DC,1.799,Flathead,2,54.422,21.983,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_10338,120,5.2,2-stroke,74.955,70.333,Alternator,0.556,OHV,2,39.121,31.07,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_10339,98,11,2-stroke,64.931,59.157,Alternator,0.629,Flathead,1,51.318,28.049,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_10340,340,12.9,OHV,72.056,71.743,None,1.122,OHV,2,53.913,22.964,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10341,402,7.8,V-twin,56.556,64.921,12V DC,1.618,Flathead,2,59.01,22.965,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_10342,649,6.5,4-stroke,63.134,51.929,12V DC,1.8,DOHC,1,47.827,19.79,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_10343,447,7.7,V-twin,57.649,52.631,None,1.507,OHV,1,55.917,30.371,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10344,680,20.8,4-stroke,65.531,71.536,None,0.368,DOHC,1,47.623,29.479,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_10345,599,18.2,2-stroke,84.05,69.037,None,0.642,Flathead,1,53.914,31.561,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_10346,454,13.2,V-twin,83.744,71.33,None,1.067,DOHC,2,34.628,24.654,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10347,243,15.2,4-stroke,56.724,62.134,Alternator,0.788,DOHC,1,16.127,32.762,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10348,109,5,2-stroke,63.444,54.151,12V DC,0.907,Flathead,1,18.215,33.179,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_10349,95,16.7,4-stroke,68.323,72.926,Alternator,1.457,DOHC,1,47.119,19.963,Diesel,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_10350,541,17.3,4-stroke,63.041,51.326,Alternator,2.53,DOHC,1,45.918,27.362,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_10351,580,15.9,4-stroke,73.927,63.63,Alternator,1.78,DOHC,1,46.114,29.081,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_10352,108,16,2-stroke,57.65,46.043,12V DC,0.642,Flathead,1,29.213,20.164,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_10353,499,13.9,OHV,79.43,68.337,None,1.139,DOHC,1,63.324,26.068,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_10354,89,15.5,2-stroke,66.532,52.735,None,0.369,DOHC,1,63.412,19.164,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_10355,122,20.4,4-stroke,69.726,72.839,None,0.742,OHV,1,16.718,23.956,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_10356,197,17.4,2-stroke,74.233,59.217,12V DC,1.801,Flathead,1,54.016,29.643,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_10357,127,19.9,OHV,76.538,67.244,12V DC,1.586,Flathead,1,53.028,27.08,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_10358,161,22,V-twin,78.542,50.544,Alternator,2.512,DOHC,2,62.419,23.663,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_10359,462,19.2,V-twin,76.539,72.84,12V DC,1.653,Flathead,1,64.928,18.56,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10360,302,19.8,2-stroke,69.24,51.135,12V DC,0.846,DOHC,1,37.62,21.651,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_10361,663,4.6,2-stroke,73.042,71.142,12V DC,0.502,Flathead,1,33.923,21.37,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_10362,291,22.7,2-stroke,56.423,60.837,Alternator,2.316,Flathead,2,33.809,27.363,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_10363,96,10.7,V-twin,74.647,47.05,Alternator,1.267,DOHC,2,27.729,18.945,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_10364,469,5.4,2-stroke,64.932,64.026,12V DC,1.512,OHV,2,15.324,34.765,Diesel,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_10365,427,18.5,V-twin,57.433,47.527,12V DC,0.593,Flathead,1,27.024,27.753,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_10366,134,24.5,OHV,84.338,49.636,12V DC,0.743,OHV,1,60.621,23.858,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_10367,569,16.7,V-twin,76.02,54.152,Alternator,1.116,OHV,1,25.423,21.07,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_10368,464,6.6,2-stroke,62.93,48.931,Alternator,0.503,DOHC,1,29.916,30.58,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_10369,481,15.3,V-twin,72.421,56.254,None,2.357,OHV,1,47.624,26.448,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10370,495,11.2,2-stroke,58.737,49.637,12V DC,2.508,DOHC,2,61.818,22.486,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10371,668,15.5,4-stroke,55.345,52.632,None,2.526,Flathead,1,14.519,33.98,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_10372,657,22.3,4-stroke,84.339,50.737,None,1.872,Flathead,1,53.614,31.241,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_10373,402,2.5,4-stroke,79.63,46.657,None,0.503,OHV,2,23.223,31.987,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_10374,438,15.2,2-stroke,80.737,69.752,None,1.187,DOHC,1,57.019,34.661,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10375,202,6.5,V-twin,68.739,69.436,None,1.632,OHV,2,22.623,27.465,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10376,344,17.2,2-stroke,56.634,53.334,12V DC,2.474,Flathead,2,37.317,25.965,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10377,619,12.7,2-stroke,72.541,67.245,Alternator,0.744,Flathead,1,28.916,24.75,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_10378,207,22.2,4-stroke,63.544,46.13,Alternator,1.211,DOHC,2,35.726,23.066,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10379,400,22.7,OHV,70.642,68.434,Alternator,0.444,OHV,1,33.123,28.457,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10380,270,20.3,V-twin,60.624,47.231,Alternator,1.896,DOHC,2,53.029,28.458,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10381,619,12,4-stroke,70.333,60.928,Alternator,0.897,Flathead,2,23.121,33.777,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_10382,398,8.3,2-stroke,59.229,55.645,Alternator,1.403,Flathead,2,8.412,23.859,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10383,520,10.7,OHV,68.953,58.149,12V DC,0.602,Flathead,2,57.118,19.849,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_10384,406,19.4,OHV,65.638,59.042,12V DC,1.811,OHV,1,63.325,20.069,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10385,692,4,OHV,84.051,47.334,Alternator,0.806,OHV,2,37.228,30.065,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_10386,317,18.5,2-stroke,56.263,47.528,12V DC,1.446,Flathead,1,16.719,30.183,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_10387,214,16.1,V-twin,74.956,61.242,Alternator,1.489,OHV,2,42.006,19.435,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10388,329,24.6,2-stroke,71.223,74.63,Alternator,1.002,Flathead,1,22.624,27.364,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_10389,128,21.4,V-twin,59.12,73.242,None,2.028,DOHC,1,15.922,28.358,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_10390,368,2.2,2-stroke,63.248,50.422,None,1.328,Flathead,1,20.225,27.967,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_10391,108,7.5,OHV,63.545,50.143,Alternator,0.965,DOHC,1,31.418,30.066,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_10392,451,17.7,4-stroke,58.738,51.724,None,0.966,Flathead,1,66.62,34.455,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_10393,384,8.1,OHV,78.738,48.744,12V DC,1.023,Flathead,1,15.115,34.766,Diesel,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_10394,421,4.6,2-stroke,75.638,62.135,None,1.812,Flathead,1,60.622,29.971,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10395,652,6.1,V-twin,73.334,56.029,12V DC,2.061,DOHC,2,37.721,27.968,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_10396,71,21.6,4-stroke,60.625,56.03,12V DC,2.475,DOHC,1,56.623,25.255,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_10397,583,3.8,2-stroke,55.346,71.744,12V DC,0.504,DOHC,1,68.412,29.578,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_10398,639,11.3,OHV,58.125,65.327,Alternator,2.417,DOHC,1,16.528,34.356,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_10399,99,2.2,OHV,64.659,70.432,Alternator,1.188,Flathead,1,16.829,27.551,Diesel,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_10400,433,21.1,OHV,73.928,72.537,12V DC,2.15,OHV,2,29.123,24.547,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10401,626,10.9,V-twin,76.021,73.443,12V DC,0.855,Flathead,1,22.321,29.269,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_10402,88,11.5,V-twin,62.241,54.928,Alternator,1.511,OHV,2,18.42,27.164,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_10403,422,18.4,2-stroke,79.431,69.637,12V DC,2.313,OHV,1,61.524,23.272,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10404,160,18.6,V-twin,82.66,49.832,Alternator,0.385,DOHC,1,45.026,29.782,Diesel,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_10405,176,13.3,OHV,68.954,53.941,12V DC,1.391,DOHC,2,57.914,34.662,Diesel,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_10406,615,13.1,V-twin,69.924,67.531,None,2.304,Flathead,2,66.114,25.058,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_10407,196,2.8,2-stroke,72.847,66.243,12V DC,1.166,DOHC,2,64.712,27.466,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_10408,226,19.8,OHV,65.135,59.531,12V DC,0.857,Flathead,2,18.91,19.06,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_10409,501,8.1,OHV,64.142,54.633,None,0.445,DOHC,2,19.61,33.778,Diesel,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_10410,310,3.4,V-twin,72.848,48.82,12V DC,1.728,DOHC,2,33.924,34.554,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10411,210,17.8,4-stroke,84.522,67.246,Alternator,1.697,DOHC,2,64.216,29.972,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_10412,222,23.9,V-twin,62.836,66.645,None,1.768,DOHC,1,45.52,25.966,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10413,229,12.2,OHV,57.434,48.33,Alternator,1.633,DOHC,1,44.108,29.783,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10414,128,2.8,2-stroke,64.53,65.932,12V DC,0.594,OHV,1,62.331,33.255,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_10415,167,23.9,2-stroke,84.839,48.442,None,0.807,DOHC,1,39.326,29.973,Petrol,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_10416,584,8.1,4-stroke,67.031,57.131,None,0.941,Flathead,1,10.116,31.071,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_10417,246,10.9,4-stroke,79.631,52.633,12V DC,2.195,DOHC,1,63.413,26.76,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10418,489,10.9,OHV,79.33,50.423,Alternator,1.873,Flathead,1,30.416,31.662,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10419,62,6.2,V-twin,73.641,49.444,12V DC,2.217,OHV,2,62.819,22.538,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_10420,492,21.2,4-stroke,75.548,65.417,None,0.727,Flathead,1,11.118,27.754,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_10421,332,17.3,V-twin,71.52,68.838,None,0.756,Flathead,2,59.912,32.176,Diesel,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10422,246,10.4,4-stroke,65.449,56.336,None,1.296,DOHC,2,62.332,18.946,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10423,694,7,4-stroke,61.245,50.042,None,1.898,DOHC,2,27.73,29.082,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_10424,441,2.3,OHV,56.947,54.153,None,2.43,DOHC,2,68.02,26.872,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10425,514,22.6,4-stroke,62.837,50.545,None,2.531,Flathead,2,58.131,19.85,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_10426,510,11.2,4-stroke,61.442,67.247,12V DC,1.313,OHV,1,9.328,31.165,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_10427,160,21.2,OHV,78.242,68.138,12V DC,1.692,DOHC,1,53.423,30.581,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_10428,155,13.3,4-stroke,79.841,48.443,12V DC,1.928,OHV,2,55.72,33.448,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_10429,408,4.1,4-stroke,79.138,61.632,12V DC,1.586,OHV,1,16.414,28.148,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_10430,611,16,4-stroke,69.329,73.243,Alternator,1.85,Flathead,2,66.013,20.57,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_10431,571,22.8,2-stroke,79.432,47.132,Alternator,0.643,OHV,1,23.623,19.659,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_10432,113,8,4-stroke,75.131,51.327,Alternator,1.987,Flathead,2,29.826,27.081,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_10433,524,18,V-twin,79.545,48.444,None,1.483,Flathead,2,61.419,28.267,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_10434,449,14.7,OHV,84.146,57.557,Alternator,1.528,DOHC,2,31.132,33.779,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10435,141,24.9,2-stroke,67.325,48.745,None,0.504,DOHC,2,14.228,18.761,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_10436,227,20.6,2-stroke,84.222,53.942,12V DC,0.908,DOHC,2,58.228,25.662,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10437,93,13.1,2-stroke,76.653,73.944,Alternator,1.942,DOHC,2,51.119,30.582,Petrol,Forced Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Vertical
Model_10438,108,22.5,2-stroke,76.334,51.93,12V DC,1.874,Flathead,1,39.01,27.552,Petrol,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_10439,473,13.7,OHV,56.557,74.95,12V DC,0.386,OHV,2,42.421,27.365,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_10440,218,10,4-stroke,83.839,59.434,Alternator,1.851,DOHC,2,15.923,27.467,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10441,88,17,V-twin,64.66,64.442,None,0.834,OHV,2,40.124,23.664,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_10442,350,15.3,V-twin,55.347,71.625,None,1.781,Flathead,2,27.908,22.058,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10443,473,4.1,2-stroke,84.34,68.026,None,1.458,OHV,2,15.325,23.86,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_10444,124,12.2,2-stroke,56.264,65.037,12V DC,1.651,DOHC,1,66.621,20.368,Petrol,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_10445,491,18.8,OHV,67.835,71.537,Alternator,0.873,Flathead,1,19.611,19.791,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_10446,200,2.9,V-twin,70.733,56.255,12V DC,1.654,DOHC,2,63.61,32.066,Petrol,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10447,253,7.9,V-twin,70.042,51.642,Alternator,0.985,Flathead,1,10.319,21.984,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_10448,551,14.7,OHV,70.928,74.73,Alternator,1.652,DOHC,1,65.633,31.663,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_10449,91,6.2,2-stroke,57.036,58.042,Alternator,2.087,Flathead,1,49.42,33.981,Petrol,Fan Cooled,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_10450,455,18.8,2-stroke,59.933,59.954,None,0.99,DOHC,1,59.614,24.655,Petrol,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_10451,231,3.6,V-twin,78.829,60.032,None,1.98,OHV,1,64.411,21.371,Diesel,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10452,188,20.7,OHV,62.322,69.543,Alternator,2.244,Flathead,1,44.422,27.969,Diesel,Natural Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Vertical
Model_10453,373,2.8,2-stroke,75.639,67.843,12V DC,0.674,Flathead,1,40.018,19.792,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
Model_10454,380,11.6,2-stroke,71.142,52.12,12V DC,2.029,Flathead,1,39.218,21.766,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10455,646,14,V-twin,56.424,71.443,12V DC,1.117,DOHC,1,60.832,33.37,Diesel,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_10456,596,19.6,V-twin,73.833,55.729,Alternator,0.657,Flathead,1,16.529,30.967,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_10457,490,9.6,4-stroke,76.022,74.045,None,0.943,OHV,2,67.724,20.165,Diesel,Forced Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10458,365,5.8,2-stroke,68.533,47.133,Alternator,0.565,Flathead,1,57.419,21.985,Petrol,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10459,564,6,2-stroke,58.943,71.444,None,2.505,OHV,1,19.826,19.258,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Vertical
Model_10460,664,17.2,OHV,65.733,57.824,12V DC,2.381,OHV,2,10.718,23.273,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Vertical
Model_10461,206,4.5,V-twin,72.849,48.746,Alternator,1.92,Flathead,1,40.22,31.458,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_10462,259,20.6,OHV,84.432,71.445,None,1.988,Flathead,2,43.41,21.767,Petrol,Fan Cooled,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_10463,576,9.9,OHV,80.334,70.433,Alternator,2.238,Flathead,1,19.33,20.166,Petrol,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_10464,565,3,OHV,59.522,72.841,12V DC,2.081,Flathead,1,40.717,23.665,Petrol,Forced Air,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_10465,547,13,V-twin,70.553,51.54,None,0.789,Flathead,2,52.013,27.259,Petrol,Fan Cooled,Tillers/Cultivators,GC Residential,Electric,500+ cc,Horizontal
Model_10466,218,14.8,2-stroke,60.626,46.044,None,1.928,DOHC,2,9.329,32.447,Petrol,Natural Air,Tractors,iGX Commercial,Recoil,200-499 cc,Vertical
Model_10467,419,17.4,V-twin,77.931,60.033,Alternator,0.967,OHV,2,56.023,31.344,Petrol,Natural Air,Tractors,iGX Commercial,Electric,200-499 cc,Horizontal
Model_10468,79,18,4-stroke,55.744,61.022,12V DC,1.467,Flathead,1,53.615,30.657,Petrol,Natural Air,Lawn Mowers,GX Commercial,Recoil,0-99 cc,Horizontal
Model_10469,101,10.9,OHV,74.342,47.335,Alternator,0.52,OHV,2,26.216,19.569,Diesel,Fan Cooled,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_10470,677,7.8,4-stroke,79.139,46.739,None,1.161,OHV,2,12.004,27.755,Diesel,Natural Air,Tillers/Cultivators,GC Residential,Recoil,500+ cc,Horizontal
Model_10471,239,4.6,V-twin,56.338,62.921,Alternator,2.034,OHV,1,41.822,29.644,Diesel,Forced Air,Tractors,iGX Commercial,Recoil,200-499 cc,Horizontal
Model_10472,148,2.8,V-twin,62.838,55.242,12V DC,1.09,DOHC,1,23.518,24.548,Diesel,Forced Air,Commercial Lawn and Garden,V-twin Commercial,Electric,100-199 cc,Horizontal
Model_10473,253,14.8,OHV,55.83,67.622,12V DC,0.728,Flathead,2,62.022,31.459,Diesel,Fan Cooled,Tractors,iGX Commercial,Electric,200-499 cc,Vertical
